iso3,country_name,income_level,transport_mass,exposed_mass,sub_only_mass,both_mass,aug_only_mass,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share
RUS,Russian Federation,High income,23817.0,12956.999999999998,4975.0,7024.0,957.9999999999999,0.5440231767225091,0.20888441029516733,0.29491539656547844,0.04022336986186337
RWA,Rwanda,Low income,23822.0,7262.999999999999,2221.0,3977.9999999999995,1064.0,0.3048862396104441,0.09323314583158425,0.1669884980270338,0.04466459575182604
SAU,Saudi Arabia,High income,23820.0,13246.0,4951.0,7154.999999999999,1140.0,0.5560873215785055,0.20785054575986567,0.3003778337531486,0.04785894206549118
SDN,Sudan,Low income,23822.0,4151.0,1830.9999999999998,2174.0,146.0,0.17425069263705817,0.07686172445638484,0.09126017966585509,0.006128788514818235
SEN,Senegal,Lower middle income,23822.0,7783.999999999999,2216.9999999999995,4542.0,1025.0,0.3267567794475694,0.09306523381747962,0.19066409201578374,0.043027453614306106
SGP,Singapore,High income,23818.0,14440.999999999998,5342.0,7777.999999999999,1321.0,0.6063061550088168,0.22428415484087666,0.3265597447308758,0.05546225543706441
SLE,Sierra Leone,Low income,23822.0,2774.9999999999995,1096.0,1386.0,293.0,0.11648895978507261,0.04600789186466292,0.05818151288724708,0.012299555033162622
SLV,El Salvador,Upper middle income,23822.0,11197.999999999998,3792.9999999999995,5833.0,1571.9999999999998,0.4700696834858533,0.15922256737469564,0.24485769456804635,0.0659894215431114
SOM,"Somalia, Fed. Rep.",Low income,23822.0,3180.0,1327.9999999999998,1622.9999999999998,228.99999999999997,0.1334900512131643,0.05574678868273024,0.06813029972294517,0.009612962807488875
SRB,Serbia,Upper middle income,23822.0,14030.999999999998,4468.0,7119.0,2443.9999999999995,0.5889933674754428,0.18755771975484847,0.2988414071026782,0.1025942406179162
SSD,South Sudan,Low income,23822.0,760.0,420.99999999999994,299.99999999999994,39.0,0.031903282679875744,0.017672739484510116,0.012593401057845687,0.0016371421375199395
SVK,Slovak Republic,High income,23822.0,14951.0,4886.0,7378.999999999999,2686.0,0.627613130719503,0.20510452522878012,0.3097556880194778,0.11275291747124506
SWE,Sweden,High income,23815.0,14059.0,5292.999999999999,7389.0,1377.0,0.5903422212891035,0.2222548813772832,0.31026663867310517,0.0578207012387151
SYR,Syrian Arab Republic,Low income,23822.0,4003.9999999999995,1980.9999999999998,1907.9999999999998,114.99999999999999,0.16807992611871378,0.08315842498530769,0.08009403072789857,0.004827470405507513
TCD,Chad,Low income,23822.0,2253.0,1039.0,1086.0,128.0,0.09457644194442112,0.043615145663672236,0.045588111829401395,0.005373184451347494
TGO,Togo,Low income,23822.0,5087.0,1863.9999999999998,2677.9999999999995,545.0,0.21354210393753673,0.07824699857274788,0.11241709344303583,0.022878011921753
THA,Thailand,Upper middle income,23822.0,12198.0,4415.0,6786.999999999999,995.9999999999999,0.5120476870120058,0.18533288556796237,0.28490470993199557,0.04181009151204768
TJK,Tajikistan,Lower middle income,23822.0,7144.999999999999,2827.9999999999995,3573.9999999999995,743.0,0.2999328351943581,0.11871379397195868,0.15002938460246829,0.031189656619931155
