spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,mean_abs_shap_ci,direction_flag,mean_abs_shap_share
lean90,substitution_within_exposed,wgi_government_effectiveness_score,0.005162119045517145,0.00028464282561461844,-0.0001557698209638165,-0.00021168177611624047,-0.021752909596042338,0.0012349664342953663,0.0,1.0,0.0005578999382046521,negative,0.228972563115075
lean90,substitution_within_exposed,wgi_regulatory_quality_score,0.0023632200888083293,0.00011428097787597014,0.00030278448157096394,-0.0002168827507341238,-0.009690589479529901,0.00043784039590048475,0.0,1.0,0.00022399071663690146,negative,0.10482372765296605
lean90,both_within_exposed,barro_lee_years_schooling_15_64,0.0029780815278858683,9.532175190521315e-05,-0.00019753526552137825,-0.0006705857003173005,0.006464529157335425,0.0003270752512851181,1.0,0.0,0.00018683063373421777,positive,0.17696771075684523
lean90,both_within_exposed,goods_trade_openness,0.001360854919719333,4.9464334996597885e-05,-9.88312047403596e-07,-0.0002899411320990473,-0.0022702478296235695,0.0003125656291301938,0.0,1.0,9.695009659333186e-05,negative,0.08086661750522439
lean90,both_within_exposed,internet_users_pct,0.002105707197589702,0.00014075306459879265,-0.00013886313453816325,-0.00023066610798737615,0.007842170016218883,0.0006588917234401092,1.0,0.0,0.00027587600661363356,positive,0.12512826757506507
lean90,both_within_exposed,log_gdp_per_capita,0.005480768455022307,9.167121828812065e-05,7.052248387659306e-05,-0.0012744507443607036,0.014415678488859949,0.0011825105967248058,1.0,0.0,0.00017967558784471647,positive,0.3256858610456417
lean90,both_within_exposed,wgi_government_effectiveness_score,0.00279616202915513,0.00016144019948782502,0.00012345137104451215,-0.00020034737679736823,0.010658540087213907,0.0004155097377427669,1.0,0.0,0.00031642279099613704,positive,0.16615743678316194
lean90,both_within_exposed,wgi_regulatory_quality_score,0.002106815157856286,0.00013177315587297033,5.603447092012438e-05,-0.0006617999566463147,0.0033307654530435843,0.0006760412590798646,1.0,0.0,0.00025827538551102184,positive,0.12519410633406175
lean90,augmentation_within_exposed,barro_lee_years_schooling_15_64,0.0015591769326257783,0.00015803551866853314,4.880952167095447e-05,0.0007091517085583189,0.005522880200655293,0.0009444351746648815,1.0,0.0,0.00030974961659032497,positive,0.10420339292676797
lean90,augmentation_within_exposed,goods_trade_openness,0.0009555002805112496,0.00015083872261165428,-5.249129332618686e-07,0.00011550959094438263,0.003860011772611871,0.0006922423523997551,1.0,0.0,0.0002956438963188424,positive,0.06385828900384836
lean90,augmentation_within_exposed,internet_users_pct,0.0026426595228351045,7.728639235591527e-05,0.0002966162767239988,-0.00010567759271431555,-0.0015966435420023796,0.000804825320910403,0.0,1.0,0.00015148132901759393,negative,0.1766150350659047
lean90,augmentation_within_exposed,log_gdp_per_capita,0.004437525134706348,0.00018370940910953512,-0.0003880309732925913,0.0023545997297645563,0.01910689292690588,0.00039603807009503316,1.0,0.0,0.00036007044185468884,positive,0.296570046386902
lean90,augmentation_within_exposed,wgi_government_effectiveness_score,0.0024905390793167393,0.00010421783345398836,0.00032062020877817945,0.0010664724583079625,0.01037136471372793,0.000723649919169879,1.0,0.0,0.00020426695356981717,positive,0.16644847473753754
lean90,augmentation_within_exposed,wgi_regulatory_quality_score,0.002877422129302554,0.00015724294488695404,-0.00022745815697784678,0.0006347322934052213,0.011920330848837164,0.0009251523170103822,1.0,0.0,0.0003081961719784299,positive,0.19230476187903944
minimal118,share_exposed,goods_trade_openness,0.0009394146185837494,5.403413196105186e-05,5.7430918367382525e-05,0.00010457566116490186,0.0003299072327083506,0.0002524737282797565,0.8,0.2,0.00010590689864366164,positive,0.006339094234794881
minimal118,share_exposed,internet_users_pct,0.04496365012875483,0.0012254488377022256,0.002254549550599323,0.03477775375471846,0.1297742904057979,0.002362796597364607,1.0,0.0,0.002401879721896362,positive,0.30341109204392624
minimal118,share_exposed,log_gdp_per_capita,0.05775060072116354,0.002231566679326387,-4.431925410161535e-05,0.026132505974437937,0.17816647760897567,0.004482221722978009,1.0,0.0,0.004373870691479719,positive,0.3896964054480828
minimal118,share_exposed,wgi_government_effectiveness_score,0.023645676744750613,0.0020801190967398822,-9.939207124356979e-05,0.008711228310711406,0.08374253364677843,0.0031727263686826108,1.0,0.0,0.004077033429610169,positive,0.1595591234852697
minimal118,share_exposed,wgi_regulatory_quality_score,0.02089448229677946,0.0011959479234063188,-0.001947274411779049,0.006472913984050635,0.05674600117110795,0.0024534810479860734,1.0,0.0,0.0023440579298763847,positive,0.14099428478792636
minimal118,substitution_share,goods_trade_openness,0.0005970688687610291,3.216511217819105e-05,8.833657566244727e-05,7.119054227872823e-06,-0.0014524433258109113,0.00031885637027339995,0.0,1.0,6.304361986925445e-05,negative,0.011319972871348536
minimal118,substitution_share,internet_users_pct,0.01920332063452029,0.0004959017313407204,0.0010650134623336768,0.014108451915586781,0.05058000469767676,0.0008589588142159692,1.0,0.0,0.0009719673934278119,positive,0.36408039339525816
minimal118,substitution_share,log_gdp_per_capita,0.018029136816911217,0.0007428640880525183,0.0003656294181800587,0.004803990022861793,0.058155802289586424,0.0007578830056228661,1.0,0.0,0.0014560136125829357,positive,0.3418187588389419
minimal118,substitution_share,wgi_government_effectiveness_score,0.007341849217686447,0.0005168348752396278,-0.0005901659016285456,-0.00023080321173605568,0.028144620050613193,0.0007773775557226553,1.0,0.0,0.0010129963554696706,positive,0.13919589233014562
minimal118,substitution_share,wgi_regulatory_quality_score,0.007573350579993855,0.0005096868463524592,-0.0008290100221057808,0.0014719609729141798,0.0173216882270965,0.001016737821968042,1.0,0.0,0.0009989862188508202,positive,0.1435849825643058
minimal118,both_share,goods_trade_openness,0.0007086008144608935,7.108678123951234e-05,5.754731657757633e-05,0.00012181271235896742,-5.111788869899736e-05,0.00040051713103409284,0.4,0.6,0.00013933009122944417,mixed,0.008971918593423223
minimal118,both_share,internet_users_pct,0.022882681803164318,0.0005847880837182148,0.0010975059032724587,0.018547106813234272,0.06928651391674583,0.0013376477643078446,1.0,0.0,0.0011461846440877009,positive,0.28972808688258633
minimal118,both_share,log_gdp_per_capita,0.030073711329741393,0.001121864239545194,-0.00010302287974467659,0.01637954741199158,0.09312278139774616,0.002481473308288243,1.0,0.0,0.00219885390950858,positive,0.38077699650659985
minimal118,both_share,wgi_government_effectiveness_score,0.014488206757082034,0.0009672071526337164,0.00012165468315671517,0.007925043694286687,0.05006156606882868,0.0014000659358958524,1.0,0.0,0.0018957260191620842,positive,0.18344180381463288
