spec,outcome,variable,permutation_importance_mean,permutation_importance_sd,baseline_r2_mean,baseline_r2_sd,permutation_importance_ci,permutation_importance_share_positive,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,direction_flag
minimal118,both_share,internet_users_pct,0.18790858053431478,0.019610370184016915,0.9461500766955399,0.0,0.038436325560673154,0.2766763281541752,0.06928651391674583,0.0013376477643078446,1.0,0.0,positive
minimal118,both_share,goods_trade_openness,0.005489123958069575,0.0011580550594135445,0.9461500766955399,0.0,0.002269787916450547,0.008082178350681889,-5.111788869899736e-05,0.00040051713103409284,0.4,0.6,mixed
minimal118,augmentation_share,log_gdp_per_capita,0.3346891398865653,0.03971475330774539,0.819588897770464,0.0,0.07784091648318096,0.47725211949102725,0.022941816097571566,0.000700083745343485,1.0,0.0,positive
minimal118,augmentation_share,wgi_government_effectiveness_score,0.07366307165187815,0.010295314630812555,0.819588897770464,0.0,0.020178816676392607,0.10504032812655191,0.0025270228750854332,0.0004515229226024383,1.0,0.0,positive
minimal118,augmentation_share,wgi_regulatory_quality_score,0.1389950088120551,0.021608020954412305,0.819588897770464,0.0,0.042351721070648114,0.1982008217437535,0.011621233553024177,0.0006166134578409168,1.0,0.0,positive
minimal118,augmentation_share,internet_users_pct,0.1311520572065586,0.020538799089569612,0.819588897770464,0.0,0.04025604621555644,0.18701711474310992,0.010268618688502896,0.0003613409304863479,1.0,0.0,positive
minimal118,augmentation_share,goods_trade_openness,0.022784438570803367,0.0053899460695767286,0.819588897770464,0.0,0.010564294296370388,0.032489615895557496,0.0018296481027495347,6.771147796531114e-05,1.0,0.0,positive
minimal118,substitution_within_exposed,log_gdp_per_capita,0.25892204431807647,0.03894055011195124,0.7892983953697457,0.0,0.07632347821942442,0.3392115152967519,-0.043758117091332836,0.001546504182914154,0.0,1.0,negative
minimal118,substitution_within_exposed,wgi_government_effectiveness_score,0.20660214384904382,0.025356815170292906,0.7892983953697457,0.0,0.0496993577337741,0.270667669348766,-0.029554425867558288,0.001034464008465483,0.0,1.0,negative
minimal118,substitution_within_exposed,wgi_regulatory_quality_score,0.09796766033070348,0.019492468295452894,0.7892983953697457,0.0,0.03820523785908767,0.12834657859425594,-0.024311091117725756,0.0009032672503660337,0.0,1.0,negative
minimal118,substitution_within_exposed,internet_users_pct,0.15443232136136073,0.026001583508178855,0.7892983953697457,0.0,0.050963103676030554,0.20232043925710996,-0.018624498649253217,0.0008028674925630568,0.0,1.0,negative
